Release_Year,EventGroup_strTitle,Event_dtmReleaseDate
2014,Jack Ryan: Shadow Recruit,17/01/2014 00:00:00
2014,The Legend Of Hercules ,17/01/2014 00:00:00
2014,Mandela: Long Walk To Freedom,24/01/2014 00:00:00
2014,12 Years A Slave,31/01/2014 00:00:00
2014,Haunted House And High Flight,31/01/2014 00:00:00
2014,Haunted House And Predator Attack,31/01/2014 00:00:00
2014,"I, Frankenstein",31/01/2014 00:00:00
2014,Ice Fighter And High Flight,31/01/2014 00:00:00
2014,Ride In The Mine And Pre Historic Adventure,31/01/2014 00:00:00
2014,U-boat And Haunted Grave,31/01/2014 00:00:00
2014,"U.F.O, Forest Adventure And Air Flight",03/02/2014 00:00:00
2014,August: Osage County,05/02/2014 00:00:00
2014,7 Boxes,07/02/2014 00:00:00
2014,A Fantastic Fear of Everything,07/02/2014 00:00:00
2014,A Field in England,07/02/2014 00:00:00
2014,After the Dark,07/02/2014 00:00:00
2014,Afternoon of a Faun: Tanaquil Le Clercq,07/02/2014 00:00:00
2014,Cavemen,07/02/2014 00:00:00
2014,Haunted Mine Ride and Roller Coaster,07/02/2014 00:00:00
2014,Kids For Cash,07/02/2014 00:00:00
2014,Lone Survivor,07/02/2014 00:00:00
2014,Love & Air Sex,07/02/2014 00:00:00
2014,Mr. Go  ,07/02/2014 00:00:00
2014,Nurse 3-D,07/02/2014 00:00:00
2014,Rock Paper Dice Enter,07/02/2014 00:00:00
2014,Roller Coaster & Adventure of Alibaba,07/02/2014 00:00:00
2014,Roller Coaster & Adventure of Jet and Jin,07/02/2014 00:00:00
2014,Saving Mr. Banks,07/02/2014 00:00:00
2014,Scorned,07/02/2014 00:00:00
2014,Sinbad: The Fifth Voyage,07/02/2014 00:00:00
2014,The Attorney,07/02/2014 00:00:00
2014,The Lego Movie,07/02/2014 00:00:00
2014,The Outsider,07/02/2014 00:00:00
2014,The Pretty One,07/02/2014 00:00:00
2014,Tusk,07/02/2014 00:00:00
2014,The Adventurer: The Curse of the Midas Box,10/02/2014 00:00:00
2014,The Girl With The Dragon Tattoo,10/02/2014 00:00:00
2014,The New Black,12/02/2014 00:00:00
2014,Date And Switch,14/02/2014 00:00:00
2014,Down And Dangerous,14/02/2014 00:00:00
2014,Easy Money: Hard to Kill,14/02/2014 00:00:00
2014,Endless Love,14/02/2014 00:00:00
2014,Girl On A Bicycle,14/02/2014 00:00:00
2014,Her,14/02/2014 00:00:00
2014,Lucky Bastard,14/02/2014 00:00:00
2014,Police Story 2013,14/02/2014 00:00:00
2014,Robocop,14/02/2014 00:00:00
2014,That Awkward Moment,14/02/2014 00:00:00
2014,Vampire Academy,14/02/2014 00:00:00
2014,Winter's Tale,14/02/2014 00:00:00
2014,Wolf Creek 2,20/02/2014 00:00:00
2014,Almanac,21/02/2014 00:00:00
2014,Pompeii ,21/02/2014 00:00:00
2014,The Book Thief,21/02/2014 00:00:00
2014,The Monuments Men,21/02/2014 00:00:00
2014,Dallas Buyers Club,28/02/2014 00:00:00
2014,Mr. Peabody & Sherman ,28/02/2014 00:00:00
2014,Nebraska,28/02/2014 00:00:00
2014,Non-Stop,28/02/2014 00:00:00
