number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
1808,2015,The Danish Girl,11114018,0,2015-11-27,Focus Features,R,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Working Title Films,Pretty Pictures,Senator Global Productions,Focus Features,Revision Pictures",United States,yes,no info,50k-50m,Tom Hooper,"biography,drama,history","English,French,German",810819,"Biography,Drama,History,Romance",nbc_universal
2914,2016,Passengers,100014699,110000000,2016-12-21,Sony Pictures,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,"Columbia Pictures,LStar Capital,Village Roadshow Productions,Wanda Media,Original Film,Company Films,Start Motion Pictures",United States,yes,100m-125m,100m-150m,Morten Tyldum,"drama,romance,sci-fi",English,1355644,"Drama,Romance,Sci-Fi,Thriller",sony
931,2014,The Loft,6002684,0,2014-01-30,Open Road,R,,Remake,Thriller/Suspense,Live Action,Contemporary Fiction,"Anonymous Content,Woestijnvis",United States,yes,no info,50k-50m,Erik Van Looy,"mystery,romance,thriller",English,1850397,"Mystery,Romance,Thriller",others
846,2014,Seventh Son,17725785,95000000,2014-02-06,Universal,PG-13,,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,"Legendary Pictures,Thunder Road Film,Wigram Productions",United States,yes,75m-100m,50k-50m,Sergey Bodrov,"action,adventure,fantasy",English,1121096,"Action,Adventure,Fantasy",nbc_universal
4056,2017,The Stray,1579440,0,2017-10-06,Purdie Distribution,PG,,Based on Real Life Events,Multiple Genres,Live Action,Factual,,United States,no,no info,50k-50m,Mitch Davis,"drama,family",English,5342904,"Drama,Family",others
4046,2017,The Only Living Boy in New York,624332,0,2017-08-11,Roadside Attractions,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,no,no info,50k-50m,Marc Webb,drama,English,460890,Drama,lionsgate
2999,2016,Billy Lynn's Long Halftime Walk,1738477,40000000,2016-11-18,Sony Pictures,R,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Film4,Ink Factory,Studio 8,Tri-Star Pictures,LStar Capital,Bona Film Group,Marc Platt Productions",United States,yes,25m-50m,50k-50m,Ang Lee,"drama,war",English,2513074,"Drama,War",sony
128,2013,Dead Man Down,10895295,30000000,2013-03-08,FilmDistrict,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"FilmDistrict,IM Global,WWE Studios,Original Film,Frequency Films",United States,no,25m-50m,50k-50m,Niels Arden Oplev,"action,crime,drama","English,French,Albanian,Spanish,Hungarian",2101341,"Action,Crime,Drama,Thriller",others
3001,2016,Keeping Up with the Joneses,14904426,0,2016-10-21,20th Century Fox,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Fox 2000 Pictures,TSG Entertainment",United States,yes,no info,50k-50m,Greg Mottola,"action,comedy","English,Hebrew,Mandarin",2387499,"Action,Comedy",21st_century_fox
2912,2016,Resident Evil: The Final Chapter,26844692,40000000,2016-01-27,Sony Pictures,R,Resident Evil,Based on Game,Action,Live Action,Science Fiction,"Screen Gems,Constantin Film,Davis Films,Impact Pictures",United States,yes,25m-50m,50k-50m,Paul W.S. Anderson,"action,horror,sci-fi",English,2592614,"Action,Horror,Sci-Fi,Thriller",sony
4020,2017,Phoenix Forgotten,3600146,0,2017-04-21,Entertainment Studios Motion Pictures,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Cinelou Films,Scott Free Films,Oddball,Singular ,The Fyzz Facility,Shenghua Entertainment,Tianmu Investments,Chunchu Media",United States,yes,no info,50k-50m,Justin Barber,"horror,mystery,sci-fi",English,6574272,"Horror,Mystery,Sci-Fi,Thriller",others
3020,2016,Keanu,20591853,15000000,2016-04-29,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,RatPac Entertainment,Dune Entertainment,Monkeypaw Pictures,Detroit Pictures,Principato-Young Entertainment",United States,no,100k-25m,50k-50m,Peter Atencio,"action,comedy,drama",English,4139124,"Action,Comedy,Crime,Drama",time_warner
906,2014,Top Five,25317379,12000000,2014-12-12,Paramount Pictures,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,IACF,United States,no,100k-25m,50k-50m,Chris Rock,"comedy,romance",English,2784678,"Comedy,Romance",viacom
159,2013,Thanks for Sharing,1066256,0,2013-12-13,Mongrel Media,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Lionsgate,Roadside Attractions",United States,no,no info,50k-50m,Stuart Blumberg,"comedy,drama,romance",English,1932718,"Comedy,Drama,Romance",others
1779,2015,Trainwreck,110212700,35000000,2015-07-17,Universal,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Apatow Productions,United States,yes,25m-50m,100m-150m,Judd Apatow,"comedy,drama,romance","English,Mandarin",3152624,"Comedy,Drama,Romance",nbc_universal
3920,2017,Lady Bird,48958273,10000000,2017-11-22,A24,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"IAC Films,A24",United States,yes,100k-25m,50k-50m,Greta Gerwig,"comedy,drama","English,Spanish",4925292,"Comedy,Drama",others
4031,2017,LBJ,2468683,20000000,2017-11-03,Electric Entertainment,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Acacia Entertainment,Savvy Media Holdings,Castle Rock Entertainment,Star Thrower Entertainment,Electric Entertainment",United States,no,100k-25m,50k-50m,Rob Reiner,"biography,drama",English,4778988,"Biography,Drama",others
2946,2016,Allied,40098064,106000000,2016-11-23,Paramount Pictures,R,,Original Screenplay,Drama,Live Action,Historical Fiction,"Paramount Pictures,GK Films",United States,yes,100m-125m,50k-50m,Robert Zemeckis,"action,drama,romance","English,French,German,Arabic",3640424,"Action,Drama,Romance,Thriller,War",viacom
898,2014,Magic in the Moonlight,10534510,0,2014-07-25,Sony Pictures Classics,PG-13,,Original Screenplay,Romantic Comedy,Live Action,Historical Fiction,"Dippermouth,Perdido,Ske-Dat-De-Dat Productions",United States,no,no info,50k-50m,Woody Allen,"comedy,romance","English,French",2870756,"Comedy,Romance",sony
974,2014,Gimme Shelter,1359910,0,2014-01-24,Roadside Attractions,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,Ronald Krauss,United States,no,no info,50k-50m,Ron Krauss,drama,English,1657510,Drama,lionsgate
3000,2016,Jackie,13960394,9000000,2016-12-02,Fox Searchlight,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Wild Bunch,Protozoa Pictures,LD Entertainment,Why Not Productions,Fabula,Endemol Shine","Chile,France,United States",yes,100k-25m,50k-50m,Pablo Larrain,"biography,drama,history","English,Spanish",1619029,"Biography,Drama,History",21st_century_fox
1791,2015,Joy,56451232,60000000,2015-12-25,20th Century Fox,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"Fox 2000 Pictures,Annapurna Pictures,Davis Entertainment,10 by 10 Entertainment",United States,yes,50m-75m,50m-100m,David O. Russell,drama,"English,Spanish,French",2446980,Drama,21st_century_fox
3091,2016,Greater,2000093,9000000,2016-08-26,Hammond Entertainment,PG,,Based on Real Life Events,Drama,Live Action,Dramatization,"Hammond Entertainment LLC,Greater Productions LLC",United States,no,100k-25m,50k-50m,David Hunt,"biography,family,sport",English,2950418,"Biography,Family,Sport",others
3011,2016,God's Not Dead 2,20773069,5000000,2016-04-01,Pure Flix Entertainment,PG,God's Not Dead,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Pure Flix,10 West Studios,Mutiny FX,GND Media Group,Believe Entertainment",United States,yes,100k-25m,50k-50m,Harold Cronk,drama,English,4824308,Drama,others
51,2013,Lone Survivor,125095601,40000000,2013-01-10,Universal,R,,Based on Factual Book/Article,Action,Live Action,Dramatization,"Emmett/Furla Films,Herrick Entertainment,Envision Entertainment,Entertainment/Single Berry,Closest to the Hole,Leverage",United States,yes,25m-50m,100m-150m,Peter Berg,"action,biography,drama","English,Pushto,Arabic",1091191,"Action,Biography,Drama,Thriller,War",nbc_universal
3068,2016,Don't Think Twice,4417983,3000000,2016-07-22,Film Arcade,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"The Film Arcade,Cold Iron Pictures,Secret Public Productions",United States,yes,100k-25m,50k-50m,Mike Birbiglia,"comedy,drama",English,4972062,"Comedy,Drama",others
5191,2018,Thoroughbreds,2830775,0,2018-03-09,Focus Features,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,no,no info,50k-50m,Cory Finley,"comedy,crime,drama",English,5649108,"Comedy,Crime,Drama,Thriller",nbc_universal
997,2014,A Matter of Faith,680113,0,2014-10-17,Five & Two Pictures,PG,,Original Screenplay,Drama,Live Action,Fantasy,"Five & Two Pictures,Christiano Film Group",United States,no,no info,50k-50m,Rich Christiano,drama,English,2587914,Drama,others
2910,2016,The Great Wall,45157105,150000000,2016-02-17,Universal,PG-13,,Original Screenplay,Action,Live Action,Historical Fiction,"Legendary Pictures,Universal Pictures,Atlas Entertainment","China,United States",yes,150m-175m,50k-50m,Zhang Yimou,"action,adventure,fantasy","English,Mandarin,Spanish",2034800,"Action,Adventure,Fantasy,Thriller",nbc_universal
4014,2017,The Hero,4077333,0,2017-06-09,The Orchard,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Northern Lights Films,Park Pictures   ,Houston King Productions",United States,no,no info,50k-50m,Brett Haley,"comedy,drama,romance",English,5655222,"Comedy,Drama,Romance",others
3040,2016,Meet the Blacks,9097072,900000,2016-04-01,Freestyle Releasing,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Hidden Empire Film Group,Deon Taylor Enterprises,Infinite Entertainment,Follow Through Productions",United States,no,100k-25m,50k-50m,Deon Taylor,"comedy,horror",English,4191580,"Comedy,Horror",others
3089,2016,I'm Not Ashamed,2082980,1500000,2016-10-21,Pure Flix Entertainment,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"Pure Flix,Visible Pictures",United States,no,100k-25m,50k-50m,Brian Baugh,"biography,drama",English,4950110,"Biography,Drama",others
3050,2016,Genius,1361045,17000000,2016-06-10,Roadside Attractions,PG-13,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Summit Entertainment,Riverstone Pictures,Pinewood Pictures,FilmNation Entertainment,Desert Wolf Productions,MGC",United States,no,100k-25m,50k-50m,Michael Grandage,"biography,drama",English,1703957,"Biography,Drama",lionsgate
1910,2015,5 Flights Up,1020921,0,2015-05-08,Focus Features,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Revelations Entertainment,Latitude Entertainment,Focus World,Manu Propria Entertainment",United States,no,no info,50k-50m,Richard Loncraine,drama,English,2933544,Drama,nbc_universal
1003,2014,The One I Love,511635,0,2014-08-22,RADiUS-TWC,R,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,Duplass Brothers,United States,no,no info,50k-50m,Charlie McDowell,"drama,fantasy,romance",English,2756032,"Drama,Fantasy,Romance,Sci-Fi,Thriller",others
1960,2015,Tangerine,702354,0,2015-07-10,Magnolia Pictures,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Through Films,Magnolia Pictures,Duplass Brothers,Cre Films,Freestyle Picture Co. ",United States,no,no info,50k-50m,Sean Baker,"comedy,crime,drama","English,Armenian",3824458,"Comedy,Crime,Drama",others
4091,2017,Novitiate,580346,0,2017-10-27,Sony Pictures Classics,R,,Original Screenplay,Drama,Live Action,Historical Fiction,"Sony Pictures Classics,Maven Pictures",United States,no,no info,50k-50m,Maggie Betts,drama,"English,American Sign Language,Latin",4513316,Drama,sony
3896,2017,The Shape of Water,63859435,19500000,2017-12-22,Fox Searchlight,R,,Original Screenplay,Drama,Live Action,Historical Fiction,"Double Dare You,Fox Searchlight Pictures",United States,yes,100k-25m,50m-100m,Guillermo del Toro,"adventure,drama,fantasy","English,American Sign Language,Russian,French",5580390,"Adventure,Drama,Fantasy,Romance,Thriller",21st_century_fox
3009,2016,Silence,7100177,46500000,2016-01-13,Paramount Pictures,R,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"SharpSword Films,AI Film,Catchplay,IM Global,Verdi Productions,EFO Films,YLK,G and G,Sikelia Productions,Fabricia de Cine ",United States,yes,25m-50m,50k-50m,Martin Scorsese,"adventure,drama,history","English,Japanese,Latin",490215,"Adventure,Drama,History",viacom
1981,2015,The Stanford Prison Experiment,649690,0,2015-07-17,IFC Films,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Sandbar Pictures,Abandon Pictures,Vineyard Point Productions,Coup d'Etat Films,IFC Films",United States,no,no info,50k-50m,Kyle Patrick Alvarez,"biography,drama,history",English,420293,"Biography,Drama,History,Thriller",others
839,2014,Let's Be Cops,82390774,17000000,2014-08-13,20th Century Fox,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Luke Greenfield,Kinberg Genre,TSG Entertainment",United States,yes,100k-25m,50m-100m,Luke Greenfield,"comedy,crime","English,Spanish",1924435,"Comedy,Crime",21st_century_fox
5513,2018,Unfriended: Dark Web,8783985,1000000,2018-07-20,OTL Releasing,R,Unfriended,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Bazelevs Company,BH Tilt",United States,yes,100k-25m,50k-50m,Stephen Susco,horror,English,4761916,Horror,others
4051,2017,The Comedian,1658706,0,2017-02-03,Sony Pictures Classics,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Cinelou Films,Linson Films,Anvil Films,The Fyzz Facility,Mad Riot Entertainment",United States,no,no info,50k-50m,Taylor Hackford,comedy,English,1967614,Comedy,sony
3036,2016,The Perfect Match,9669521,5000000,2016-03-11,Lionsgate,R,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Lionsgate,Codeblack Films,Jorva Entertainment Productions,Flavor Unit Films",United States,no,100k-25m,50k-50m,Bille Woodruff,"comedy,romance",English,4871980,"Comedy,Romance",lionsgate
953,2014,The Good Lie,2722209,0,2014-10-03,Warner Bros.,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Black Label Media,Imagine Entertainment,Reliance Entertainment",United States,no,no info,50k-50m,Philippe Falardeau,"biography,drama",English,2652092,"Biography,Drama",time_warner
140,2013,Stoker,1703125,12000000,2013-03-01,Fox Searchlight,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Scott Free Films,Indian Paintbrush","United Kingdom,United States",no,100k-25m,50k-50m,Park Chan-wook,"drama,thriller","English,French,Italian",1682180,"Drama,Thriller",21st_century_fox
1969,2015,The D Train,669688,0,2015-05-08,IFC Films,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Electric Dynamite,Rip Cord,Londinium",United States,no,no info,50k-50m,"Jarrad Paul,Andrew Mogel","comedy,drama",English,2690138,"Comedy,Drama",others
3989,2017,Beatriz at Dinner,7115854,0,2017-06-09,Roadside Attractions,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Killer Films,Bron Studios,Roadside Attractions,FilmNation Entertainment,Creative Wealth Media Finance",United States,no,no info,50k-50m,Miguel Arteta,"comedy,drama","English,Spanish",5929750,"Comedy,Drama",lionsgate
3857,2017,Star Wars Ep. VIII: The Last Jedi,620181382,317000000,2017-12-15,Walt Disney,PG-13,Star Wars,Original Screenplay,Adventure,Live Action,Science Fiction,"Lucasfilm,Walt Disney Pictures",United States,yes,300m-325m,600m-650m,Rian Johnson,"action,adventure,fantasy",English,2527336,"Action,Adventure,Fantasy,Sci-Fi",disney
1863,2015,Scouts Guide to the Zombie Apocalypse,3703046,15000000,2015-10-30,Paramount Pictures,R,,Original Screenplay,Comedy,Live Action,Fantasy,"Paramount Pictures,Broken Road",United States,no,100k-25m,50k-50m,Christopher Landon,"action,comedy,horror",English,1727776,"Action,Comedy,Horror",viacom
1833,2015,The Lady in the Van,10021175,0,2015-01-15,Sony Pictures Classics,PG-13,,Based on Play,Drama,Live Action,Dramatization,"Tri-Star Pictures,BBC Films",United States,no,no info,50k-50m,Nicholas Hytner,"biography,comedy,drama","English,French",3722070,"Biography,Comedy,Drama",sony
99,2013,The Family,36918811,30000000,2013-09-13,Relativity,R,,Based on Fiction Book/Short Story,Black Comedy,Live Action,Contemporary Fiction,"Relativity Media,EuropaCorp,TF1 Film Productions,Grive Productions",United States,no,25m-50m,50k-50m,Luc Besson,"comedy,crime,thriller","English,French,Italian",2404311,"Comedy,Crime,Thriller",others
5340,2018,Overboard,50316123,12000000,2018-05-04,Lionsgate,PG-13,,Remake,Romantic Comedy,Live Action,Contemporary Fiction,"Pantelion Films,Metro-Goldwyn-Mayer Pictures,3Pas Studios",United States,no,100k-25m,50m-100m,Rob Greenberg,"comedy,romance","English,Norwegian,Spanish,French",1563742,"Comedy,Romance",lionsgate
3990,2017,You Were Never Really Here,2523610,0,2017-04-06,Amazon Studios,R,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,"France,United Kingdom,United States",yes,no info,50k-50m,Lynne Ramsay,"drama,mystery,thriller",English,5742374,"Crime,Drama,Mystery,Thriller",others
86,2013,Grudge Match,29807260,40000000,2013-12-25,Warner Bros.,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Warner Bros.,Gerber Pictures,Callahan Filmworks",United States,yes,25m-50m,50k-50m,Peter Segal,"comedy,drama,sport",English,1661382,"Comedy,Drama,Sport",time_warner
935,2014,The Immigrant,2013456,16000000,2014-05-16,RADiUS-TWC,R,,Original Screenplay,Drama,Live Action,Historical Fiction,"Keep Your Head,Kingsgate Films,Worldview Entertainment",United States,no,100k-25m,50k-50m,James Gray,"drama,romance","English,Polish,Latin",1951181,"Drama,Romance",others
3049,2016,Maggie's Plan,3351735,0,2016-05-20,Sony Pictures Classics,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Freedom Media,Locomotive,Hyperion Media,Round Films   ,Franklin Street Capital",United States,no,no info,50k-50m,Rebecca Miller,"comedy,drama,romance","English,Danish",3471098,"Comedy,Drama,Romance",sony
1841,2015,Snowden,21587519,50000000,2015-09-16,Open Road,R,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Open Road Films,Endgame Entertainment,Wild Bunch,TG Media,Moritz Borman,Kopeloff",United States,yes,50m-75m,50k-50m,Oliver Stone,"biography,drama,thriller","English,American Sign Language,Russian",3774114,"Biography,Drama,Thriller",others
3096,2016,I Saw the Light,1646788,0,2016-03-25,Sony Pictures Classics,R,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"RatPac Entertainment,Bron Studios,Creative Wealth Media Finance",United States,no,no info,50k-50m,Marc Abraham,"biography,drama,music",English,1490785,"Biography,Drama,Music,Romance",sony
3898,2017,The Post,81903458,50000000,2017-01-12,20th Century Fox,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"DreamWorks Pictures,Amblin Entertainment,20th Century Fox,Participant Media,Star Thrower Entertainment",United States,yes,50m-75m,50m-100m,Steven Spielberg,"biography,drama,history",English,6294822,"Biography,Drama,History,Thriller",21st_century_fox
1870,2015,Macbeth,1110707,0,2015-12-04,Weinstein Co.,R,,Based on Play,Drama,Live Action,Historical Fiction,"See-Saw Films,StudioCanal,Film4,DMC Film,Anton Capital Entertainment,Creative Scotland","France,United Kingdom,United States",no,no info,50k-50m,Justin Kurzel,"drama,history,war",English,2884018,"Drama,History,War",others
1948,2015,The Cokeville Miracle,1348630,0,2015-06-05,Excel Entertainment,PG-13,,Original Screenplay,Drama,Live Action,Fantasy,"Remember Films,Excel Entertainment",United States,no,no info,50k-50m,T.C. Christensen,"drama,family,history",English,3877296,"Drama,Family,History,Mystery,Thriller",others
5267,2018,Beirut,5019226,0,2018-04-11,Bleecker Street,R,,Original Screenplay,Action,Live Action,Historical Fiction,"Radar Pictures,Shivhans Pictures,Bleecker Street ",United States,no,no info,50k-50m,Brad Anderson,"crime,drama,thriller","English,Arabic",4669264,"Crime,Drama,Thriller",others
5265,2018,The Miracle Season,10230620,0,2018-04-06,LD Entertainment,PG,,Based on Real Life Events,Drama,Live Action,Dramatization,LD Entertainment,United States,no,no info,50k-50m,Sean McNamara,"drama,sport",English,5427194,"Drama,Sport",others
58,2013,Saving Mr. Banks,83299761,35000000,2013-12-20,Walt Disney,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"Ruby Films,Essential Media and Entertainment,BBC Films,Hopscotch Features","United Kingdom,United States",yes,25m-50m,50m-100m,John Lee Hancock,"biography,comedy,drama",English,2140373,"Biography,Comedy,Drama,Family,Music",disney
3087,2016,Born to Be Blue,755153,0,2016-03-04,IFC Films,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"New Real Films,Lumanity,Black Hangar Studio,Productivity Media,K5 International,Telefilm Canada,Northern Ontario Heritage Fund Corporation,Ontario Media Development Corporation,Entertainment One",United States,no,no info,50k-50m,Robert Budreau,"biography,drama,music","English,Italian",2133196,"Biography,Drama,Music,Romance",others
1887,2015,True Story,4719695,0,2015-04-17,Fox Searchlight,R,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"New Regency,Regency Enterprises,Plan B Entertainment",United States,yes,no info,50k-50m,Rupert Goold,"crime,drama,mystery","English,Ibo",2273657,"Crime,Drama,Mystery,Thriller",21st_century_fox
5269,2018,Sgt. Stubby: An American Hero,3054285,0,2018-04-13,Fun Academy Motion Pictures,PG,,Based on Real Life Events,Adventure,Digital Animation,Dramatization,"Fun Academy Motion Pictures,Mikros Image Animation","Canada,France,United States",no,no info,50k-50m,Richard Lanni,"adventure,animation,family",English,5314190,"Animation,Adventure,Family,History,War",others
32,2013,American Hustle,150117807,40000000,2013-12-25,Sony Pictures,R,,Based on Real Life Events,Black Comedy,Live Action,Dramatization,"Atlas Entertainment,Columbia Pictures,Annapurna Pictures",United States,yes,25m-50m,150m-200m,David O. Russell,"crime,drama","English,Arabic",1800241,"Crime,Drama",sony
3027,2016,"Hello, My Name is Doris",14444999,0,2016-03-11,Roadside Attractions,R,,Based on Short Film,Drama,Live Action,Contemporary Fiction,"Roadside Attractions,Stage 6 Films,Red Crown, Haven Entertainment",United States,no,no info,50k-50m,Michael Showalter,"comedy,drama,romance",English,3766394,"Comedy,Drama,Romance",lionsgate
877,2014,St. Vincent,44137712,13000000,2014-10-24,Weinstein Co.,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Chernin Entertainment,United States,no,100k-25m,50k-50m,Theodore Melfi,"comedy,drama","English,Spanish",2170593,"Comedy,Drama",others
1894,2015,90 Minutes in Heaven,4816142,5000000,2015-09-11,Samuel Goldwyn Films,PG-13,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Giving Films,Emmett Furla Oasis Films,Dawn Parouse,Make Pictures,Astute Films",United States,no,100k-25m,50k-50m,Michael Polish,drama,English,4337690,Drama,others
1782,2015,Point Break,28782481,100000000,2015-12-25,Warner Bros.,PG-13,,Remake,Action,Live Action,Contemporary Fiction,"Alcon Entertainment,DMG Entertainment,Taylor-Baldecchi-Wimmer,Studio Babelsberg",United States,yes,100m-125m,50k-50m,Ericson Core,"action,crime,sport","French,Spanish,English",2058673,"Action,Crime,Sport,Thriller",time_warner
4049,2017,Slamma Jamma,1687000,0,2017-03-24,Riverrain,PG,,Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,no,no info,50k-50m,Timothy A. Chey,"drama,sport",English,5319866,"Drama,Sport",others
3897,2017,Pitch Perfect 3,104897530,45000000,2017-12-22,Universal,PG-13,Pitch Perfect,Based on Factual Book/Article,Comedy,Live Action,Contemporary Fiction,"Universal Pictures,Gold Circle Films,Brownstone",United States,yes,25m-50m,100m-150m,Trish Sie,"comedy,music","English,Papiamento",4765284,"Comedy,Music",nbc_universal
215,2013,The Lost Medallion: The Adventures of Billy Stone,549632,2500000,2013-03-01,Freestyle Releasing,PG,,Original Screenplay,Adventure,Live Action,Kids Fiction,"Wooden Door,Downes Brothers Productions",United States,no,100k-25m,50k-50m,Bill Muir,"adventure,family,fantasy",English,1390539,"Adventure,Family,Fantasy",others
995,2014,Alone Yet Not Alone,795755,0,2014-06-13,Hammond Entertainment,PG-13,,Based on Factual Book/Article,Drama,Animation/Live Action,Dramatization,"Enthuse,Ayna, LLC",United States,no,no info,50k-50m,Ray Bengston,"action,drama,history",English,1986769,"Action,Drama,History,Romance,War",others
76,2013,Carrie,35266619,30000000,2013-10-18,Sony Pictures,R,,Remake,Horror,Live Action,Fantasy,"Metro-Goldwyn-Mayer Pictures,Screen Gems,Misher Films",United States,yes,25m-50m,50k-50m,Kimberly Peirce,"drama,horror",English,1939659,"Drama,Horror",sony
971,2014,Persecuted,1557494,0,2014-07-18,"One Media, LLC",PG-13,,Original Screenplay,Drama,Live Action,Science Fiction,"One Media, LLC,Millennium Entertainment,Number 1 Films, LLC,Indieproduction, LLC",United States,no,no info,50k-50m,Daniel Lusko,"action,drama,mystery",English,1761005,"Action,Drama,Mystery,Thriller",others
5068,2018,Forever My Girl,16376066,3500000,2018-01-19,Roadside Attractions,PG,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"LD Entertainment,Liddell Entertainment",United States,no,100k-25m,50k-50m,Bethany Ashton Wolf,"drama,music,romance",English,4103724,"Drama,Music,Romance",lionsgate
5440,2018,American Animals,2853526,0,2018-06-01,The Orchard,R,,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Film4,RAW,AI Film,Lava Bear Films",United States,no,no info,50k-50m,Bart Layton,"crime,drama",English,6212478,"Crime,Drama",others
2918,2016,Assassin's Creed,54647948,125000000,2016-12-21,20th Century Fox,PG-13,,Based on Game,Action,Live Action,Science Fiction,"Regency Enterprises,Ubisoft Entertainment,New Regency,DMC Film,The Kennedy/Marshall Company",United States,yes,125m-150m,50m-100m,Justin Kurzel,"action,adventure,fantasy","English,Spanish,Arabic",2094766,"Action,Adventure,Fantasy,Sci-Fi",21st_century_fox
917,2014,And So It Goes,15160801,18000000,2014-07-25,Clarius Entertainment,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Castle Rock Entertainment,Rob Reiner,Alan Greisman,Foresight Unlimited,Envision Entertainment",United States,no,100k-25m,50k-50m,Rob Reiner,"comedy,drama,romance",English,2465146,"Comedy,Drama,Romance",others
5514,2018,Blindspotting,4333394,0,2018-08-10,Lionsgate,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Snoot Entertainment,Codeblack Films,Summit Entertainment",United States,no,no info,50k-50m,Carlos Lopez Estrada,"comedy,crime,drama",English,7242142,"Comedy,Crime,Drama",lionsgate
980,2014,Palo Alto,767732,1000000,2014-05-09,TriBeca Films,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"James Franco,Rabbit Bandini Productions",United States,no,100k-25m,50k-50m,Gia Coppola,drama,English,2479800,Drama,others
987,2014,The Disappearance of Eleanor Rigby,587152,0,2014-10-10,Unison Films,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Dreambridge Films,Standard Deviations",United States,no,no info,50k-50m,Ned Benson,"drama,romance","English,French",3729920,"Drama,Romance",others
5511,2018,Sorry to Bother You,17384522,0,2018-07-06,Annapurna Pictures,R,,Original Screenplay,Comedy,Live Action,Science Fiction,"Significant Productions,MNM Creative,Macro Media,Cinereach Films",United States,no,no info,50k-50m,Boots Riley,"comedy,fantasy,sci-fi",English,5688932,"Comedy,Fantasy,Sci-Fi",others
1764,2015,Daddy's Home,150357137,50000000,2015-12-25,Paramount Pictures,PG-13,Daddy's Home,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures,Red Granite Pictures,Gary Sanchez Productions",United States,yes,50m-75m,150m-200m,Sean Anders,comedy,English,1528854,Comedy,viacom
