number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
3034,2016,Paterson,2141423,5000000,2016-12-28,Bleecker Street,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Amazon Studios,K5 International,Le Pacte,Inkjet",United States,yes,100k-25m,50k-50m,Jim Jarmusch,"comedy,drama,romance","English,Italian",5247022,"Comedy,Drama,Romance",others
3882,2017,xXx: Return of Xander Cage,44898413,85000000,2017-01-20,Paramount Pictures,PG-13,xXx,Original Screenplay,Action,Live Action,Contemporary Fiction,"Paramount Pictures,Revolution Studios,RK Films   ,One Race Films",United States,yes,75m-100m,50k-50m,D.J. Caruso,"action,adventure,thriller","English,Spanish,Portuguese,Mandarin,Tagalog,Russian",1293847,"Action,Adventure,Thriller",viacom
1789,2015,Chappie,31569268,49000000,2015-03-06,Sony Pictures,R,,Original Screenplay,Action,Animation/Live Action,Science Fiction,"Columbia Pictures,MRC,LStar Capital",United States,yes,25m-50m,50k-50m,Neill Blomkamp,"action,crime,drama",English,1823672,"Action,Crime,Drama,Sci-Fi,Thriller",sony
1773,2015,Fantastic Four,56117548,120000000,2015-08-07,20th Century Fox,PG-13,Fantastic Four,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"MARV Films,Kinberg Genre,Robert Kulzer,Constantin Film,Marvel Studios",United States,yes,100m-125m,50m-100m,Josh Trank,"action,adventure,sci-fi",English,1502712,"Action,Adventure,Sci-Fi",21st_century_fox
3946,2017,Home Again,27020284,15000000,2017-09-08,Open Road,PG-13,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Open Road Films,Waverly Films,Black Bicycle",United States,yes,100k-25m,50k-50m,Hallie Meyers-Shyer,"comedy,drama,romance",English,5719700,"Comedy,Drama,Romance",others
3018,2016,The Light Between Oceans,12545979,20000000,2016-09-02,Walt Disney,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Heyday Films,Entertainment One,DreamWorks Pictures,Reliance Entertainment,Participant Media","Australia,India,New Zealand,United Kingdom,United States",yes,100k-25m,50k-50m,Derek Cianfrance,"drama,romance",English,2547584,"Drama,Romance",disney
1800,2015,Sicario,46889293,30000000,2015-10-02,Lionsgate,R,Sicario,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Thunder Road Film,Lionsgate,Black Label Media",United States,yes,25m-50m,50k-50m,Denis Villeneuve,"action,crime,drama","English,Spanish",3397884,"Action,Crime,Drama,Mystery,Thriller",lionsgate
878,2014,No Good Deed,52543632,13200000,2014-09-12,Sony Pictures,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Will Packer Productions,United States,yes,100k-25m,50m-100m,Sam Miller,"crime,drama,thriller",English,2011159,"Crime,Drama,Thriller",sony
1872,2015,Unfinished Business,10219501,35000000,2015-03-06,20th Century Fox,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Escape Artists,New Regency,Regency Enterprises",United States,yes,25m-50m,50k-50m,Ken Scott,comedy,English,2358925,"Comedy,Drama",21st_century_fox
3865,2017,Wonder Woman,412563408,150000000,2017-06-02,Warner Bros.,PG-13,DC Extended Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,Atlas Entertainment,Cruel and Unusual Films,RatPac Entertainment,Dune Entertainment,Tencent Pictures ,Wanda Pictures",United States,yes,150m-175m,400m-450m,Patty Jenkins,"action,adventure,fantasy","English,German,Dutch,French,Spanish,Chinese,Greek, Ancient (to 1453),North American Indian",451279,"Action,Adventure,Fantasy,Sci-Fi,War",time_warner
3058,2016,The Meddler,4267219,3200000,2016-04-22,Sony Pictures Classics,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Stage 6 Films,Anonymous Content",United States,yes,100k-25m,50k-50m,Lorene Scafaria,"comedy,drama,romance",English,4501454,"Comedy,Drama,Romance",sony
5433,2018,Uncle Drew,42469946,0,2018-06-29,Lionsgate,PG-13,,Based on TV,Comedy,Live Action,Contemporary Fiction,"Summit Entertainment,Temple Hill Entertainment,Pepsi Productions",United States,yes,no info,50k-50m,Charles Stone III,"comedy,sport",English,7334528,"Comedy,Sport",lionsgate
2955,2016,How to be Single,46843513,37000000,2016-02-12,Warner Bros.,R,,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Metro-Goldwyn-Mayer Pictures,Flower Films,Wrigley Pictures",United States,yes,25m-50m,50k-50m,Christian Ditter,"comedy,drama,romance",English,1292566,"Comedy,Drama,Romance",time_warner
